STATE,YEAR,MONTH,MONTH_NUM,RAINFALL
ANDAMAN & NICOBAR ISLANDS,1901,JAN,1,49.2
ANDAMAN & NICOBAR ISLANDS,1901,FEB,2,87.1
ANDAMAN & NICOBAR ISLANDS,1901,MAR,3,29.2
ANDAMAN & NICOBAR ISLANDS,1901,APR,4,2.3
ANDAMAN & NICOBAR ISLANDS,1901,MAY,5,528.8
ANDAMAN & NICOBAR ISLANDS,1901,JUN,6,517.5
ANDAMAN & NICOBAR ISLANDS,1901,JUL,7,365.1
ANDAMAN & NICOBAR ISLANDS,1901,AUG,8,481.1
ANDAMAN & NICOBAR ISLANDS,1901,SEP,9,332.6
ANDAMAN & NICOBAR ISLANDS,1901,OCT,10,388.5
ANDAMAN & NICOBAR ISLANDS,1901,NOV,11,558.2
ANDAMAN & NICOBAR ISLANDS,1901,DEC,12,33.6
ANDAMAN & NICOBAR ISLANDS,1902,JAN,1,0.0
ANDAMAN & NICOBAR ISLANDS,1902,FEB,2,159.8
ANDAMAN & NICOBAR ISLANDS,1902,MAR,3,12.2
ANDAMAN & NICOBAR ISLANDS,1902,APR,4,0.0
ANDAMAN & NICOBAR ISLANDS,1902,MAY,5,446.1
ANDAMAN & NICOBAR ISLANDS,1902,JUN,6,537.1
ANDAMAN & NICOBAR ISLANDS,1902,JUL,7,228.9
ANDAMAN & NICOBAR ISLANDS,1902,AUG,8,753.7
ANDAMAN & NICOBAR ISLANDS,1902,SEP,9,666.2
ANDAMAN & NICOBAR ISLANDS,1902,OCT,10,197.2
ANDAMAN & NICOBAR ISLANDS,1902,NOV,11,359.0
ANDAMAN & NICOBAR ISLANDS,1902,DEC,12,160.5
ANDAMAN & NICOBAR ISLANDS,1903,JAN,1,12.7
ANDAMAN & NICOBAR ISLANDS,1903,FEB,2,144.0
ANDAMAN & NICOBAR ISLANDS,1903,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1903,APR,4,1.0
ANDAMAN & NICOBAR ISLANDS,1903,MAY,5,235.1
ANDAMAN & NICOBAR ISLANDS,1903,JUN,6,479.9
ANDAMAN & NICOBAR ISLANDS,1903,JUL,7,728.4
ANDAMAN & NICOBAR ISLANDS,1903,AUG,8,326.7
ANDAMAN & NICOBAR ISLANDS,1903,SEP,9,339.0
ANDAMAN & NICOBAR ISLANDS,1903,OCT,10,181.2
ANDAMAN & NICOBAR ISLANDS,1903,NOV,11,284.4
ANDAMAN & NICOBAR ISLANDS,1903,DEC,12,225.0
ANDAMAN & NICOBAR ISLANDS,1904,JAN,1,9.4
ANDAMAN & NICOBAR ISLANDS,1904,FEB,2,14.7
ANDAMAN & NICOBAR ISLANDS,1904,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1904,APR,4,202.4
ANDAMAN & NICOBAR ISLANDS,1904,MAY,5,304.5
ANDAMAN & NICOBAR ISLANDS,1904,JUN,6,495.1
ANDAMAN & NICOBAR ISLANDS,1904,JUL,7,502.0
ANDAMAN & NICOBAR ISLANDS,1904,AUG,8,160.1
ANDAMAN & NICOBAR ISLANDS,1904,SEP,9,820.4
ANDAMAN & NICOBAR ISLANDS,1904,OCT,10,222.2
ANDAMAN & NICOBAR ISLANDS,1904,NOV,11,308.7
ANDAMAN & NICOBAR ISLANDS,1904,DEC,12,40.1
ANDAMAN & NICOBAR ISLANDS,1905,JAN,1,1.3
ANDAMAN & NICOBAR ISLANDS,1905,FEB,2,0.0
ANDAMAN & NICOBAR ISLANDS,1905,MAR,3,3.3
ANDAMAN & NICOBAR ISLANDS,1905,APR,4,26.9
ANDAMAN & NICOBAR ISLANDS,1905,MAY,5,279.5
ANDAMAN & NICOBAR ISLANDS,1905,JUN,6,628.7
ANDAMAN & NICOBAR ISLANDS,1905,JUL,7,368.7
ANDAMAN & NICOBAR ISLANDS,1905,AUG,8,330.5
ANDAMAN & NICOBAR ISLANDS,1905,SEP,9,297.0
ANDAMAN & NICOBAR ISLANDS,1905,OCT,10,260.7
ANDAMAN & NICOBAR ISLANDS,1905,NOV,11,25.4
ANDAMAN & NICOBAR ISLANDS,1905,DEC,12,344.7
ANDAMAN & NICOBAR ISLANDS,1906,JAN,1,36.6
ANDAMAN & NICOBAR ISLANDS,1906,FEB,2,0.0
ANDAMAN & NICOBAR ISLANDS,1906,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1906,APR,4,0.0
ANDAMAN & NICOBAR ISLANDS,1906,MAY,5,556.1
ANDAMAN & NICOBAR ISLANDS,1906,JUN,6,733.3
ANDAMAN & NICOBAR ISLANDS,1906,JUL,7,247.7
ANDAMAN & NICOBAR ISLANDS,1906,AUG,8,320.5
ANDAMAN & NICOBAR ISLANDS,1906,SEP,9,164.3
ANDAMAN & NICOBAR ISLANDS,1906,OCT,10,267.8
ANDAMAN & NICOBAR ISLANDS,1906,NOV,11,128.9
ANDAMAN & NICOBAR ISLANDS,1906,DEC,12,79.2
ANDAMAN & NICOBAR ISLANDS,1907,JAN,1,110.7
ANDAMAN & NICOBAR ISLANDS,1907,FEB,2,0.0
ANDAMAN & NICOBAR ISLANDS,1907,MAR,3,113.3
ANDAMAN & NICOBAR ISLANDS,1907,APR,4,21.6
ANDAMAN & NICOBAR ISLANDS,1907,MAY,5,616.3
ANDAMAN & NICOBAR ISLANDS,1907,JUN,6,305.2
ANDAMAN & NICOBAR ISLANDS,1907,JUL,7,443.9
ANDAMAN & NICOBAR ISLANDS,1907,AUG,8,377.6
ANDAMAN & NICOBAR ISLANDS,1907,SEP,9,200.4
ANDAMAN & NICOBAR ISLANDS,1907,OCT,10,264.4
ANDAMAN & NICOBAR ISLANDS,1907,NOV,11,648.9
ANDAMAN & NICOBAR ISLANDS,1907,DEC,12,245.6
ANDAMAN & NICOBAR ISLANDS,1908,JAN,1,20.9
ANDAMAN & NICOBAR ISLANDS,1908,FEB,2,85.1
ANDAMAN & NICOBAR ISLANDS,1908,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1908,APR,4,29.0
ANDAMAN & NICOBAR ISLANDS,1908,MAY,5,562.0
ANDAMAN & NICOBAR ISLANDS,1908,JUN,6,693.6
ANDAMAN & NICOBAR ISLANDS,1908,JUL,7,481.4
ANDAMAN & NICOBAR ISLANDS,1908,AUG,8,699.9
ANDAMAN & NICOBAR ISLANDS,1908,SEP,9,428.8
ANDAMAN & NICOBAR ISLANDS,1908,OCT,10,170.7
ANDAMAN & NICOBAR ISLANDS,1908,NOV,11,208.1
ANDAMAN & NICOBAR ISLANDS,1908,DEC,12,196.9
ANDAMAN & NICOBAR ISLANDS,1910,JAN,1,26.6
ANDAMAN & NICOBAR ISLANDS,1910,FEB,2,22.7
ANDAMAN & NICOBAR ISLANDS,1910,MAR,3,206.3
ANDAMAN & NICOBAR ISLANDS,1910,APR,4,89.3
ANDAMAN & NICOBAR ISLANDS,1910,MAY,5,224.5
ANDAMAN & NICOBAR ISLANDS,1910,JUN,6,472.7
ANDAMAN & NICOBAR ISLANDS,1910,JUL,7,264.3
ANDAMAN & NICOBAR ISLANDS,1910,AUG,8,337.4
ANDAMAN & NICOBAR ISLANDS,1910,SEP,9,626.6
ANDAMAN & NICOBAR ISLANDS,1910,OCT,10,208.2
ANDAMAN & NICOBAR ISLANDS,1910,NOV,11,267.3
ANDAMAN & NICOBAR ISLANDS,1910,DEC,12,153.5
ANDAMAN & NICOBAR ISLANDS,1911,JAN,1,0.0
ANDAMAN & NICOBAR ISLANDS,1911,FEB,2,8.4
ANDAMAN & NICOBAR ISLANDS,1911,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1911,APR,4,122.5
ANDAMAN & NICOBAR ISLANDS,1911,MAY,5,327.3
ANDAMAN & NICOBAR ISLANDS,1911,JUN,6,649.0
ANDAMAN & NICOBAR ISLANDS,1911,JUL,7,253.0
ANDAMAN & NICOBAR ISLANDS,1911,AUG,8,187.1
ANDAMAN & NICOBAR ISLANDS,1911,SEP,9,464.5
ANDAMAN & NICOBAR ISLANDS,1911,OCT,10,333.8
ANDAMAN & NICOBAR ISLANDS,1911,NOV,11,94.5
ANDAMAN & NICOBAR ISLANDS,1911,DEC,12,247.1
ANDAMAN & NICOBAR ISLANDS,1912,JAN,1,583.7
ANDAMAN & NICOBAR ISLANDS,1912,FEB,2,0.8
ANDAMAN & NICOBAR ISLANDS,1912,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1912,APR,4,21.9
ANDAMAN & NICOBAR ISLANDS,1912,MAY,5,140.7
ANDAMAN & NICOBAR ISLANDS,1912,JUN,6,549.8
ANDAMAN & NICOBAR ISLANDS,1912,JUL,7,468.9
ANDAMAN & NICOBAR ISLANDS,1912,AUG,8,370.3
ANDAMAN & NICOBAR ISLANDS,1912,SEP,9,386.2
ANDAMAN & NICOBAR ISLANDS,1912,OCT,10,318.7
ANDAMAN & NICOBAR ISLANDS,1912,NOV,11,117.2
ANDAMAN & NICOBAR ISLANDS,1912,DEC,12,2.3
ANDAMAN & NICOBAR ISLANDS,1913,JAN,1,84.8
ANDAMAN & NICOBAR ISLANDS,1913,FEB,2,0.5
ANDAMAN & NICOBAR ISLANDS,1913,MAR,3,1.3
ANDAMAN & NICOBAR ISLANDS,1913,APR,4,2.5
ANDAMAN & NICOBAR ISLANDS,1913,MAY,5,190.7
ANDAMAN & NICOBAR ISLANDS,1913,JUN,6,530.0
ANDAMAN & NICOBAR ISLANDS,1913,JUL,7,280.8
ANDAMAN & NICOBAR ISLANDS,1913,AUG,8,205.8
ANDAMAN & NICOBAR ISLANDS,1913,SEP,9,580.1
ANDAMAN & NICOBAR ISLANDS,1913,OCT,10,288.8
ANDAMAN & NICOBAR ISLANDS,1913,NOV,11,133.0
ANDAMAN & NICOBAR ISLANDS,1913,DEC,12,67.5
ANDAMAN & NICOBAR ISLANDS,1914,JAN,1,0.0
ANDAMAN & NICOBAR ISLANDS,1914,FEB,2,0.0
ANDAMAN & NICOBAR ISLANDS,1914,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1914,APR,4,37.7
ANDAMAN & NICOBAR ISLANDS,1914,MAY,5,298.8
ANDAMAN & NICOBAR ISLANDS,1914,JUN,6,383.3
ANDAMAN & NICOBAR ISLANDS,1914,JUL,7,792.8
ANDAMAN & NICOBAR ISLANDS,1914,AUG,8,520.5
ANDAMAN & NICOBAR ISLANDS,1914,SEP,9,310.8
ANDAMAN & NICOBAR ISLANDS,1914,OCT,10,139.8
ANDAMAN & NICOBAR ISLANDS,1914,NOV,11,184.4
ANDAMAN & NICOBAR ISLANDS,1914,DEC,12,289.7
ANDAMAN & NICOBAR ISLANDS,1915,JAN,1,45.0
ANDAMAN & NICOBAR ISLANDS,1915,FEB,2,56.7
ANDAMAN & NICOBAR ISLANDS,1915,MAR,3,33.3
ANDAMAN & NICOBAR ISLANDS,1915,APR,4,40.9
ANDAMAN & NICOBAR ISLANDS,1915,MAY,5,170.2
ANDAMAN & NICOBAR ISLANDS,1915,JUN,6,334.7
ANDAMAN & NICOBAR ISLANDS,1915,JUL,7,269.0
ANDAMAN & NICOBAR ISLANDS,1915,AUG,8,317.2
ANDAMAN & NICOBAR ISLANDS,1915,SEP,9,429.8
ANDAMAN & NICOBAR ISLANDS,1915,OCT,10,468.1
ANDAMAN & NICOBAR ISLANDS,1915,NOV,11,258.4
ANDAMAN & NICOBAR ISLANDS,1915,DEC,12,318.0
ANDAMAN & NICOBAR ISLANDS,1916,JAN,1,0.0
ANDAMAN & NICOBAR ISLANDS,1916,FEB,2,0.0
ANDAMAN & NICOBAR ISLANDS,1916,MAR,3,0.0
ANDAMAN & NICOBAR ISLANDS,1916,APR,4,0.5
ANDAMAN & NICOBAR ISLANDS,1916,MAY,5,487.4
ANDAMAN & NICOBAR ISLANDS,1916,JUN,6,450.1
ANDAMAN & NICOBAR ISLANDS,1916,JUL,7,317.3
ANDAMAN & NICOBAR ISLANDS,1916,AUG,8,425.0
ANDAMAN & NICOBAR ISLANDS,1916,SEP,9,561.2
ANDAMAN & NICOBAR ISLANDS,1916,OCT,10,369.7
ANDAMAN & NICOBAR ISLANDS,1916,NOV,11,192.6
ANDAMAN & NICOBAR ISLANDS,1916,DEC,12,133.7
ANDAMAN & NICOBAR ISLANDS,1917,JAN,1,8.0
ANDAMAN & NICOBAR ISLANDS,1917,FEB,2,3.6
ANDAMAN & NICOBAR ISLANDS,1917,MAR,3,112.0
ANDAMAN & NICOBAR ISLANDS,1917,APR,4,4.5
ANDAMAN & NICOBAR ISLANDS,1917,MAY,5,295.9
ANDAMAN & NICOBAR ISLANDS,1917,JUN,6,301.1
ANDAMAN & NICOBAR ISLANDS,1917,JUL,7,394.8
ANDAMAN & NICOBAR ISLANDS,1917,AUG,8,437.4
ANDAMAN & NICOBAR ISLANDS,1917,SEP,9,471.8
ANDAMAN & NICOBAR ISLANDS,1917,OCT,10,238.1
ANDAMAN & NICOBAR ISLANDS,1917,NOV,11,108.3
ANDAMAN & NICOBAR ISLANDS,1917,DEC,12,236.9
